season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,778,[0-8),0.05060278823631801,0.01025739201544206,0.0927195965748333,0.04092824636165029,0.8611490153408295
summer,16,67,[8-14),0.05505254721481061,0.011015371850519111,0.09983682354892826,0.03504472544257473,0.8073848041135874
summer,16,28,>=14,0.06512155185560552,0.013925388872757667,0.11100805947761187,0.028446157969497156,0.7905453379665103
winter,16,778,[0-8),0.05059876806571706,0.012172936243215162,0.0987401696729085,0.02394027707563059,0.86057534917308
winter,16,67,[8-14),0.06681541418310565,0.015993713110272686,0.12062762379238644,0.024493263673365625,0.8339768541392996
winter,16,28,>=14,0.09611770886333047,0.025935348407659247,0.15422981779948688,0.024610194852967983,0.7538148750151906
spring,16,778,[0-8),0.0547707393516834,0.01238534130908552,0.10095055781547713,0.03763371169166578,0.8514613559742513
spring,16,67,[8-14),0.062073881904528345,0.01323342951003233,0.10973457191679845,0.03213696618847847,0.8167164610393012
spring,16,28,>=14,0.07750080439890801,0.017586380501859906,0.1259435770717285,0.027016153118196193,0.7835137748292514
