season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1764,[0-8),0.007634451248218475,0.0009655628612856255,0.02193612748699902,0.007579679047326767,0.932466662980937
summer,16,41,[8-14),0.015230789075109845,0.0018378721829860967,0.03483071541165634,0.011097637217328832,0.8679233920283433
summer,16,33,>=14,0.036020537550365786,0.0045011781200940335,0.06248639678139938,0.015901302645949293,0.7138366301854452
winter,16,1764,[0-8),0.0057605290719260835,0.0015174114580738768,0.025394703663887252,0.01154236765794324,0.9829552553746165
winter,16,41,[8-14),0.015180901372791879,0.0036863644694234785,0.046795301422299006,0.021702613712878523,0.934432922340021
winter,16,33,>=14,0.02802831567049168,0.005140259561308368,0.06476888451603122,0.018361995921415446,0.8641402757529056
spring,16,1764,[0-8),0.0061906575849198136,0.0010025319004586875,0.02172140644061145,0.008664009255673687,0.9733063806346754
spring,16,41,[8-14),0.013543855876001319,0.002011483860716094,0.0354712574487891,0.012825326946652496,0.926238444520206
spring,16,33,>=14,0.028487178192773323,0.0037848738981374076,0.0552794618957281,0.013610767127486118,0.8299192948774858
