season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1924,[0-8),0.020740367958915096,0.001732805074297724,0.03588160547799321,0.005440908499326867,0.6669742186358217
summer,16,36,[8-14),0.03820393713990587,0.004297064612078703,0.06043794281155671,0.018066265356016672,0.6285731866955757
summer,16,30,>=14,0.043502041685814945,0.005605774903532697,0.07283329688714754,0.032358692834549306,0.7533617456754048
winter,16,1924,[0-8),0.003981945219316329,0.0011032104422667546,0.024710712768783633,0.009230903470147786,0.9795693394547936
winter,16,36,[8-14),0.021538731527224606,0.005682904435230739,0.06568608473145426,0.036215590097662925,0.9005318532387415
winter,16,30,>=14,0.042329107546338854,0.010688791171627198,0.09838384505289494,0.06292338379563299,0.8395772933959961
spring,16,1924,[0-8),0.003007797216952136,0.0007504752118151417,0.018624011158473695,0.006102803258510613,0.9840208041073131
spring,16,36,[8-14),0.017984615483834582,0.0036048890463824842,0.05135720563109779,0.025856069919824594,0.9025759531391991
spring,16,30,>=14,0.035837392370685256,0.006801139302579436,0.07684155300854457,0.05156255048326265,0.8426930546760559
