season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,981,[0-8),0.008331231609058633,0.001423055956398483,0.02893022822436127,0.008001019441523543,0.9540018900454227
summer,16,27,[8-14),0.024830504440274372,0.004322510139343331,0.0533450812866548,0.01829619747300217,0.8719565184028061
summer,16,29,>=14,0.035357139850484914,0.006614001497048861,0.07128442425625241,0.018053491685436903,0.7893847823143005
winter,16,981,[0-8),0.016856205829631724,0.004437829250856424,0.054532909636848495,0.017986839298048587,0.9094996761139501
winter,16,27,[8-14),0.047496731937494326,0.01423428968618897,0.09879355421003332,0.032121041712764385,0.7993719931002017
winter,16,29,>=14,0.06451776490330777,0.020884773333187806,0.13022701227875147,0.032746832211546825,0.7325832340224036
spring,16,981,[0-8),0.013133566478334222,0.0024888084981195685,0.04103934140288508,0.013164383528989352,0.9058268789608301
spring,16,27,[8-14),0.03547334913421387,0.008075861862608264,0.07461141230237901,0.03418271923346289,0.8158661977008537
spring,16,29,>=14,0.041682379402124534,0.009538224162154454,0.08752654263646316,0.025106467033956387,0.7720863983548921
