season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1395,[0-8),0.022676377746509102,0.005478325306879606,0.06077057431223574,0.039385988019866355,0.9096319643720504
summer,16,82,[8-14),0.030921938954102033,0.007353658404374294,0.07497541645020751,0.04135568139920644,0.8659491451775155
summer,16,58,>=14,0.047510768433855224,0.011573421440493191,0.10041674183279434,0.042119218702161655,0.8048302130452518
winter,16,1395,[0-8),0.03726336726972098,0.01094760673266328,0.08907929516799372,0.06753474400845898,0.8641694979214753
winter,16,82,[8-14),0.047626836513116104,0.015808527516830886,0.11203311746952736,0.06404152584355838,0.8342737424664382
winter,16,58,>=14,0.07394912234829276,0.028838310221975607,0.15702007681268584,0.05510461990098925,0.7723861932754517
spring,16,1395,[0-8),0.026424723847767496,0.007100537604365352,0.06997257913964013,0.05012114885884703,0.9021472024768057
spring,16,82,[8-14),0.03732009880397948,0.011100348571690921,0.09258244848083992,0.056352086723202355,0.8584785076176248
spring,16,58,>=14,0.05718855480635141,0.018885969196301325,0.12752343068950767,0.055332261071488795,0.7993477788464777
