season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1166,[0-8),0.029200618177972093,0.0031442614604355666,0.052108931994353826,0.02531511288117917,0.8594659054667831
summer,16,21,[8-14),0.05171030936788779,0.010408388017239678,0.09595908247867452,0.02990638190816819,0.7887099300112043
summer,16,16,>=14,0.0637521743774414,0.012753869921645032,0.11012527727762322,0.03039128504089097,0.8293620869517326
winter,16,1166,[0-8),0.039868498048977026,0.005452629884700091,0.06797792822718714,0.029960652910129757,0.8586900512309262
winter,16,21,[8-14),0.07689648654057979,0.019332110133869214,0.13426738892787013,0.032407849943298914,0.7317637006441752
winter,16,16,>=14,0.06883961920644724,0.017511740834471903,0.12358950299749122,0.023559630385548824,0.8619805686175823
spring,16,1166,[0-8),0.03040951071387561,0.003506695745934653,0.05473835679191643,0.028580645651934678,0.8587303822077363
spring,16,21,[8-14),0.06406763185417395,0.015006748663964665,0.11858132177905191,0.04284561923504338,0.7555377568517413
spring,16,16,>=14,0.06665093665029488,0.013842339931841497,0.11513415055140502,0.03161244499092146,0.8455990999937057
