season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1557,[0-8),0.028214062273713265,0.004495385501546858,0.06282584055359942,0.05254398782445473,0.9130257117342474
summer,16,688,[8-14),0.024607264914036423,0.004649178031095371,0.060299469253909124,0.03532307508586692,0.9077863273925559
summer,16,191,>=14,0.033337447144218865,0.0071071055678410475,0.07189289057783169,0.029289802247455,0.8677592109011106
winter,16,1557,[0-8),0.03100483443602603,0.005978524885809558,0.07290613064520897,0.06817731923691295,0.9276067688439087
winter,16,688,[8-14),0.02883810216414021,0.007047231195374672,0.07543693200458484,0.04883009382896161,0.9171781903782557
winter,16,191,>=14,0.0454526991511796,0.013642254362522102,0.1030737186493238,0.044822034306658654,0.8628791199304671
spring,16,1557,[0-8),0.029387646030571684,0.005358906004303844,0.06876455776109906,0.06569227519898299,0.9279973276471509
spring,16,688,[8-14),0.025258414515935815,0.0054747967175887416,0.06575200857912128,0.04439864279124018,0.9200242134027703
spring,16,191,>=14,0.03467671236038795,0.008420334478902392,0.07902065253743983,0.03803491591750699,0.8757217198766339
