season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1500,[0-8),0.03192178771573735,0.006682877440843062,0.07373938493253152,0.04817351607507857,0.888251957098643
summer,16,13,[8-14),0.06269692813648896,0.01495454331240827,0.11631591217888199,0.048276317168744504,0.7423194692685053
summer,16,44,>=14,0.06801603592653326,0.014864891937288925,0.11945542291491597,0.03948688156822844,0.7713447612794962
winter,16,1500,[0-8),0.04836574850643378,0.014982441826448483,0.1117788023768314,0.06414493607836509,0.8624904061506192
winter,16,13,[8-14),0.09668978177584134,0.03353209102629374,0.17423327878110365,0.05994151966315077,0.6740249945567205
winter,16,44,>=14,0.08949205939145011,0.029715818730675934,0.16055889879583624,0.03868402533411026,0.7726332606239752
spring,16,1500,[0-8),0.037479210907181836,0.010279724613724048,0.09253313251865516,0.0750418954921059,0.8798925134539605
spring,16,13,[8-14),0.078662224448824,0.024154399580418633,0.14780460652893568,0.07017554303364623,0.7146944541197556
spring,16,44,>=14,0.0760377526920747,0.020495812300513106,0.13800178394301457,0.04575761612448863,0.7718121883544055
