season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1440,[0-8),0.040477435458979,0.005922083593819364,0.06831054564571729,0.03835661841491959,0.7229746373370289
summer,16,82,[8-14),0.06409929331155095,0.012513183498741174,0.10481199586214182,0.04941247396105768,0.6956775244779703
summer,16,95,>=14,0.06818599169468362,0.01273413963073176,0.10605396948550755,0.04003467901260696,0.6888490105930127
winter,16,1440,[0-8),0.035919139629355674,0.010403841396170305,0.08517682722407643,0.05689601782574249,0.9025254768422908
winter,16,82,[8-14),0.0742381310702396,0.026492404221421965,0.14805486053277414,0.07288642138325721,0.7956842929124832
winter,16,95,>=14,0.08822355445570501,0.028641740728436307,0.15438532889855136,0.058491388444466906,0.7383487387707359
spring,16,1440,[0-8),0.043726244907753155,0.008747064196012863,0.08354403118860693,0.053317726468993146,0.7924090484829827
spring,16,82,[8-14),0.07327795553184593,0.01850353893615887,0.12757798782950547,0.06658329101548761,0.7240275936882671
spring,16,95,>=14,0.07844133847515157,0.018714025481959735,0.12840755576817267,0.053415579873086226,0.7027243087166234
