season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1007,[0-8),0.015922797595047746,0.0015921588417311136,0.035501631168121904,0.019477640730085722,0.9299380151257141
summer,16,706,[8-14),0.014790375344072453,0.0012944521695428387,0.03215517789209853,0.01251519519511132,0.9079993641579117
summer,16,75,>=14,0.020990987540849666,0.002685134636217641,0.04128200998866174,0.011517229741991262,0.8674245305856069
winter,16,1007,[0-8),0.016430847380701077,0.002498303084344132,0.04407003720409323,0.0306984550556606,0.9506844522462937
winter,16,706,[8-14),0.014512844813543454,0.002107249960104284,0.040022027889212525,0.020377803770885057,0.9504676102409957
winter,16,75,>=14,0.023898767807904408,0.0062144109236832,0.058046438752009176,0.02065946243757408,0.9180873338381449
spring,16,1007,[0-8),0.014721586097170437,0.0017054737189549874,0.03635335227431066,0.021479517333907867,0.9493115967233936
spring,16,706,[8-14),0.012545472259343497,0.0012949333256272201,0.03162689473186154,0.013390120677953657,0.9443986314552026
spring,16,75,>=14,0.01808607632506127,0.0029451054544826494,0.04092672531864734,0.013245594655601212,0.9168363316853841
