season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1276,[0-8),0.025466440285099954,0.005086763184098973,0.061072463569080505,0.04433158943594921,0.9146227098440862
summer,16,1703,[8-14),0.031545914710168536,0.0061580969652653104,0.07059639324334972,0.042409922153168494,0.8974400954742118
summer,16,750,>=14,0.041513238645067424,0.008442775566338665,0.08389026300899259,0.033003806511217655,0.8416261624892553
winter,16,1276,[0-8),0.03826236498583738,0.010156004016739575,0.08645093778370709,0.06624152255033086,0.8923810121536161
winter,16,1703,[8-14),0.04473209549541713,0.011148815835615809,0.09725294890441087,0.05827666306829255,0.8706594745656426
winter,16,750,>=14,0.05582239080690869,0.015177963529589467,0.11246879824294155,0.03766621208139099,0.8146889938513437
spring,16,1276,[0-8),0.029188344670438224,0.006614097487843022,0.0699216046321153,0.05589475909662706,0.909634191607093
spring,16,1703,[8-14),0.03607001188289897,0.0077832325677772525,0.08027275663115781,0.051682064424259794,0.8858356742528488
spring,16,750,>=14,0.04619616164662482,0.010490486910520708,0.09381065062948814,0.037224773852191785,0.8354048670927684
