season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,670,[0-8),0.022323770944507684,0.003132010195573192,0.05104727133276545,0.03903449624360757,0.9263742341924069
summer,16,263,[8-14),0.028304941997444176,0.0038132969839851883,0.05868359172076708,0.03997843789674909,0.8997565453496723
summer,16,83,>=14,0.033309680588161465,0.004513794425376681,0.06354034933263582,0.03452154479579849,0.8708350263446211
winter,16,670,[0-8),0.024651722359594466,0.005031540417046379,0.06492351117789666,0.0597487550217875,0.9315356354215252
winter,16,263,[8-14),0.03232756332912801,0.0062829759441615975,0.07588957861717358,0.06308362302536835,0.8983164746951694
winter,16,83,>=14,0.03506668490944478,0.0066850489658904135,0.07786312251990599,0.05245766289967486,0.8870762888207493
spring,16,670,[0-8),0.022151492115765354,0.003666888843783666,0.055345015399944825,0.04698845636265712,0.9386176015014079
spring,16,263,[8-14),0.02784126183334849,0.004341738740977276,0.06273052504242375,0.047531353193805956,0.9091858088743551
spring,16,83,>=14,0.030078145907388748,0.004385082198771475,0.0629548969164935,0.038320705437337406,0.8909133378281651
