season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,1291,[0-8),0.024695031451464858,0.005469701311047238,0.061904773680046044,0.03613874678061855,0.9043580089586821
summer,16,26,[8-14),0.053567000859463386,0.021550317544908645,0.1343715369403027,0.08823144100377502,0.7740926765478574
summer,16,23,>=14,0.07932802218203858,0.025576900934090204,0.14909717345963966,0.09132061757273474,0.7099420195040496
winter,16,1291,[0-8),0.03413577891557053,0.009005164321376562,0.08139318926307756,0.05112459843303709,0.9031318294549524
winter,16,26,[8-14),0.08093385077889328,0.04102350776452819,0.18458798266168247,0.1117234592901988,0.7449928533572417
winter,16,23,>=14,0.12323088584958436,0.058692050810960045,0.2251321342967494,0.1022027059088634,0.6810858755008035
spring,16,1291,[0-8),0.02655651467793862,0.006527675931188334,0.06787868360634204,0.04266290627597625,0.9056109775876371
spring,16,26,[8-14),0.06772445287459936,0.031444317883093924,0.16329052842315334,0.11429527949014846,0.7512376549152228
spring,16,23,>=14,0.10126799886692109,0.03995101047969439,0.18643465355293437,0.10260226929492458,0.6940448776535366
