season,zoom,numer of tiles,height bin,mae,mse,rmse,sobel,ssim
summer,16,731,[0-8),0.010756102421998637,0.0018173543959345121,0.030512034218404916,0.012630590651215811,0.9526918700879641
summer,16,29,[8-14),0.037013660402536556,0.007373238155549734,0.07656967926064837,0.036130641689497006,0.8704423452245778
summer,16,8,>=14,0.06821173125622321,0.015016261698052959,0.11520912347314828,0.04192670673280897,0.7341091893613338
winter,16,731,[0-8),0.014277855003952242,0.004528703321458801,0.046254534902389496,0.022270929626832688,0.9526683958463891
winter,16,29,[8-14),0.053341414817206514,0.018698460374690622,0.1212591005002997,0.056041455796023834,0.8498867955701105
winter,16,8,>=14,0.07825413872213924,0.024938741065776614,0.1530171528943351,0.052542330585319874,0.7354649752378464
spring,16,731,[0-8),0.012588432051907109,0.0026946911839247634,0.0364852383980031,0.016546150572884222,0.9448669751349291
spring,16,29,[8-14),0.04413369612729252,0.011161143059874602,0.09418240016981073,0.04330924336104773,0.8523658740109411
spring,16,8,>=14,0.07786195792403874,0.02070267682806981,0.13671584301500475,0.048749163113205034,0.7136398367583752
