i,j,height
33174,22535,7.169963384541907
33174,22536,40.939997654711874
33174,22537,9.327183261233001
33174,22538,6.470588235294118
33174,22539,6.470588235294116
33174,22540,6.470588235294117
33174,22541,6.470588235294117
33174,22542,6.4705882352941195
33174,22543,6.470588235294119
33174,22544,6.432990395460915
33174,22545,6.470588235294118
33174,22546,6.470588235294118
33174,22547,6.470588235294119
33174,22548,6.470588235294117
33174,22549,6.470588235294117
33174,22550,6.470588235294118
33174,22551,6.470588235294119
33174,22552,6.470588235294117
33174,22553,6.676341589267285
33174,22554,16.66372846558958
33174,22555,6.470588235294119
33175,22535,19.32432078107197
33175,22536,31.336028830095813
33175,22537,24.504366303864096
33175,22538,6.470588235294117
33175,22539,6.470588235294116
33175,22540,6.470588235294118
33175,22541,6.470588235294119
33175,22542,6.470588235294119
33175,22543,6.670297748729123
33175,22544,6.470588235294118
33175,22545,6.470588235294119
33175,22546,6.470588235294119
33175,22547,6.470588235294118
33175,22548,6.470588235294118
33175,22549,6.470588235294116
33175,22550,6.470588235294118
33175,22551,6.470588235294117
33175,22552,6.463103371660279
33175,22553,6.470588235294117
33175,22554,6.470588235294116
33175,22555,6.470588235294119
33176,22535,11.069704726302499
33176,22536,69.1870091237235
33176,22537,37.18664937367635
33176,22538,6.470588235294117
33176,22539,6.470588235294115
33176,22540,6.470588235294119
33176,22541,6.470588235294118
33176,22542,6.470588235294118
33176,22543,6.470588235294118
33176,22544,6.470588235294118
33176,22546,6.470588235294118
33176,22548,6.470588235294118
33176,22549,6.470588235294118
33176,22550,6.470588235294118
33176,22551,6.470588235294117
33176,22552,6.470588235294117
33176,22553,6.470588235294119
33176,22554,6.470588235294117
33176,22555,6.470588235294117
33177,22535,10.42364845390187
33177,22536,20.703082418236097
33177,22537,48.8807856802745
33177,22538,8.549690402476779
33177,22539,6.470588235294119
33177,22540,6.470588235294117
33177,22541,6.470588235294118
33177,22542,6.470588235294119
33177,22543,6.470588235294119
33177,22544,6.470588235294119
33177,22546,6.470588235294119
33177,22547,6.470588235294118
33177,22548,6.470588235294118
33177,22549,6.547196165323726
33177,22550,9.886898381433479
33177,22551,6.470588235294118
33177,22552,6.470588235294118
33177,22553,6.470588235294116
33177,22554,6.470588235294118
33177,22555,6.470588235294117
33178,22535,9.196270156696164
33178,22536,6.470588235294117
33178,22537,6.470588235294117
33178,22538,6.470588235294118
33178,22539,6.470588235294118
33178,22540,6.470588235294119
33178,22541,6.470588235294119
33178,22542,6.470588235294119
33178,22543,6.470588235294119
33178,22544,6.470588235294119
33178,22545,6.470588235294118
33178,22546,6.470588235294118
33178,22547,6.4705882352941195
33178,22548,6.470588235294119
33178,22549,6.5251318462260155
33178,22550,16.994026121979193
33178,22551,7.035710488172054
33178,22552,6.470588235294118
33178,22553,6.470588235294117
33178,22554,6.470588235294118
33178,22555,6.470588235294119
33179,22535,6.470588235294118
33179,22536,6.470588235294117
33179,22537,6.470588235294116
33179,22538,6.470588235294119
33179,22539,6.470588235294118
33179,22540,6.470588235294119
33179,22541,6.470588235294119
33179,22542,6.470588235294118
33179,22543,6.470588235294119
33179,22544,6.470588235294118
33179,22545,6.470588235294118
33179,22546,6.470588235294118
33179,22547,6.470588235294119
33179,22548,6.470588235294119
33179,22549,6.470588235294119
33179,22550,6.470588235294118
33179,22551,6.470588235294118
33179,22552,15.024890201338248
33179,22553,6.470588235294117
33179,22554,6.509267064443263
33179,22555,6.470588235294117
33180,22535,6.470588235294117
33180,22536,6.470588235294117
33180,22537,6.470588235294118
33180,22538,6.470588235294117
33180,22539,6.470588235294117
33180,22540,6.470588235294118
33180,22541,6.4705882352941195
33180,22542,6.470588235294118
33180,22543,6.470588235294119
33180,22544,6.470588235294118
33180,22545,6.470588235294118
33180,22546,6.470588235294116
33180,22547,6.470588235294115
33180,22548,6.470588235294116
33180,22549,6.470588235294118
33180,22550,6.470588235294117
33180,22551,6.470588235294119
33180,22552,11.339093687507074
33180,22553,6.470588235294116
33180,22554,6.470588235294118
33180,22555,6.470588235294117
33181,22535,6.470588235294118
33181,22536,6.470588235294119
33181,22537,6.470588235294118
33181,22538,6.470588235294117
33181,22539,6.470588235294119
33181,22540,6.470588235294118
33181,22541,6.470588235294118
33181,22542,6.470588235294117
33181,22543,6.470588235294117
33181,22544,6.470588235294118
33181,22545,6.470588235294117
33181,22546,6.470588235294117
33181,22547,6.470588235294117
33181,22548,6.470588235294117
33181,22549,10.56561730360045
33181,22550,6.470588235294118
33181,22551,6.470588235294117
33181,22552,6.470588235294117
33181,22553,6.470588235294117
33181,22554,6.470588235294116
33181,22555,6.470588235294118
33182,22535,6.470588235294118
33182,22536,6.470588235294118
33182,22537,6.470588235294118
33182,22538,6.470588235294116
33182,22539,6.470588235294119
33182,22540,6.470588235294116
33182,22541,6.470588235294117
33182,22542,6.470588235294118
33182,22543,6.470588235294117
33182,22544,6.470588235294118
33182,22545,6.470588235294118
33182,22546,6.470588235294117
33182,22547,25.207193007935356
33182,22548,9.191454731902065
33182,22549,7.049168107991638
33182,22550,6.470588235294117
33182,22551,6.470588235294117
33182,22552,6.470588235294118
33182,22553,6.470588235294118
33182,22554,6.470588235294117
33182,22555,6.470588235294117
33183,22535,6.470588235294117
33183,22536,6.470588235294116
33183,22537,6.470588235294118
33183,22538,6.470588235294117
33183,22539,29.00869659795937
33183,22540,9.674456967496381
33183,22541,6.470588235294119
33183,22542,6.470588235294119
33183,22543,6.470588235294118
33183,22544,6.470588235294117
33183,22545,6.470588235294117
33183,22546,6.470588235294118
33183,22547,15.754942640956797
33183,22548,15.337361565327875
33183,22549,6.478919375391705
33183,22550,6.470588235294117
33183,22551,6.470588235294118
33183,22552,16.753113929685203
33183,22553,6.470588235294118
33183,22554,6.470588235294117
33183,22555,6.470588235294117
33184,22535,6.470588235294117
33184,22536,6.470588235294119
33184,22537,6.470588235294117
33184,22538,6.470588235294118
33184,22539,6.470588235294118
33184,22540,6.470588235294117
33184,22541,6.470588235294118
33184,22542,6.522786569595879
33184,22543,6.4715132393304975
33184,22544,13.28418832510468
33184,22545,8.07957153787299
33184,22546,6.470588235294118
33184,22547,7.79268531569467
33184,22548,7.974792363428552
33184,22549,6.470588235294118
33184,22550,6.470588235294118
33184,22551,6.470588235294117
33184,22552,6.470588235294116
33184,22553,6.470588235294118
33184,22554,6.470588235294117
33184,22555,6.469731572501902
33185,22535,6.470588235294115
33185,22536,6.470588235294117
33185,22537,6.470588235294117
33185,22538,6.470588235294116
33185,22539,6.470588235294118
33185,22540,6.470588235294117
33185,22541,7.845345345345346
33185,22542,7.965097212052581
33185,22543,6.470805478478113
33185,22544,7.187039052109782
33185,22545,228.59184781473826
33185,22546,6.488822582172966
33185,22547,6.470588235294118
33185,22548,6.470588235294117
33185,22549,6.470588235294118
33185,22550,6.470588235294117
33185,22551,6.470588235294118
33185,22552,6.470588235294116
33185,22553,6.470588235294117
33185,22554,6.470588235294119
33185,22555,6.465455667897765
33186,22535,6.470588235294118
33186,22536,6.470588235294118
33186,22537,6.470588235294117
33186,22538,6.470588235294118
33186,22539,6.470588235294118
33186,22540,6.470588235294117
33186,22541,7.730132409323014
33186,22542,7.027248416357933
33186,22543,6.632180655140604
33186,22544,11.89008113154009
33186,22545,8.14084017570497
33186,22546,6.470588235294118
33186,22547,6.606059559008632
33186,22548,6.470588235294117
33186,22549,6.470588235294118
33186,22550,6.470588235294117
33186,22551,6.470588235294117
33186,22552,6.470588235294118
33186,22553,6.4705882352941195
33186,22554,6.470588235294118
33186,22555,6.470588235294117
33187,22535,6.470588235294118
33187,22536,6.470588235294119
33187,22537,6.470588235294118
33187,22538,6.470588235294116
33187,22539,6.470588235294117
33187,22540,6.542001082406293
33187,22541,6.472466217658156
33187,22542,6.788153097614975
33187,22543,6.470588235294117
33187,22544,6.470588235294117
33187,22545,6.470588235294117
33187,22546,6.487832246300581
33187,22547,12.947876954745475
33187,22548,8.05566335865166
33187,22549,6.470588235294118
33187,22550,6.470588235294117
33187,22551,6.470588235294117
33187,22552,6.470588235294117
33187,22553,6.470588235294118
33187,22554,6.470588235294118
