i,j,height,l2,ssim_l1,ssim_with_sobel,unet_l1,resnet_l1,resnet_ssim_sobel_l1
58195,25787,6.470588235294118,0.0652268901467323,0.0656097705165545,0.0671278660496075,0.0651546145478884,0.0644712547461191,0.06259492660562198
58195,25788,6.470588235294118,0.0870837544401486,0.0948983008662859,0.0914758592844009,0.0909649779399236,0.0851355195045471,0.08391512433687846
58195,25789,6.470588235294119,0.0762269298235575,0.078534685075283,0.0780006597439448,0.0794417137900988,0.0724888841311136,0.07248609016338985
58195,25790,6.470588235294118,0.0487012180189291,0.0492684865991274,0.0503495993713537,0.0487040765583515,0.0464177007476488,0.04488792394598325
58195,25791,6.470588235294119,0.0476650247971216,0.0420127722124258,0.0447982065379619,0.0438454498847325,0.0411925452450911,0.040785305202007294
58195,25792,6.470588235294119,0.0499051039417584,0.0471345571180184,0.0487692666550477,0.0479113794863224,0.0446424993375937,0.04355311890443166
58195,25793,6.470588235294117,0.0729276264707247,0.0786224367717901,0.0815304604669412,0.0776077123979727,0.0776077595849831,0.07397639627257983
58195,25794,6.470588235294118,0.0682233460247516,0.0682991718252499,0.0705573037266731,0.06892724831899,0.0644141721228758,0.06437925125161807
58195,25795,6.470588235294118,0.0608913401762644,0.063427993406852,0.0642598370711008,0.0623037094871203,0.059137038886547,0.05959803362687429
58195,25796,6.470588235294119,0.0447866395115852,0.0455579670766989,0.047865018248558,0.0461644927660624,0.0425325085719426,0.04167590538660685
58195,25797,6.470239820344582,0.1220795984069506,0.137139876683553,0.1329847425222396,0.1309369405110677,0.1284597044189771,0.1256934329867363
58195,25798,6.470588235294118,0.0444108086327711,0.045379268626372,0.0470221303403377,0.0447717383503913,0.0423910332222779,0.040938038378953934
58195,25799,6.470588235294118,0.0408378106852372,0.0399087729553381,0.0405978076159954,0.0412672633926073,0.0384661021331946,0.03774126681188742
58195,25800,6.470588235294117,0.1051422730088234,0.1128480310241381,0.1096443583567937,0.1115397537748019,0.108399952451388,0.10182426124811172
58195,25801,6.493367713658137,0.1142457102735837,0.1167607853809992,0.1117117504278818,0.117224430044492,0.1122712418437004,0.10613819708426793
58195,25802,6.470588235294118,0.123173584540685,0.1331555371483167,0.1177109107375145,0.1143199702103932,0.1250336989760399,0.11468626062075298
58195,25803,6.470588235294117,0.1132077723741531,0.1200944110751152,0.1057139237721761,0.1007041831811269,0.1093524818619092,0.10374428580204646
58195,25804,6.470588235294118,0.083330899477005,0.0857003405690193,0.0852781509359677,0.0864266107479731,0.0811594873666763,0.07763732473055522
58195,25805,6.470588235294118,0.0533833404382069,0.0534333748122056,0.0563232203324635,0.0551842289666334,0.0524032674729824,0.05134948343038559
58195,25806,6.470588235294118,0.0631502456963062,0.0648777956763903,0.0645550688107808,0.0650165006518364,0.0611116513609886,0.05963244289159775
58195,25807,6.470588235294117,0.0771773780385653,0.0768606563409169,0.0782352611422538,0.0786431059241294,0.0744631340106328,0.07172735035419464
58195,25808,6.470588235294117,0.077524360269308,0.0801618807017803,0.0811369195580482,0.0800517909228801,0.0766002076367537,0.07567344233393669
58195,25809,6.5131929314935855,0.0797929217418034,0.083250510195891,0.0805201058586438,0.0829300284385681,0.0792889222502708,0.07402555147806804
58195,25810,6.519816205913154,0.1266492406527201,0.1285982603828112,0.1257971202333768,0.1298880552252133,0.1273913035790125,0.11715421577294667
58195,25811,6.448846479043363,0.1222406874100367,0.1295631577571233,0.1226642454663912,0.1270529702305793,0.1210288231571515,0.11815339575211208
58195,25812,6.470588235294117,0.1039066240191459,0.1087504749496777,0.1007096295555432,0.1068218946456909,0.1026003335913022,0.0956414168079694
58195,25813,6.470588235294117,0.1143681680162747,0.1157482787966728,0.1096106221278508,0.1134205112854639,0.1067950204014778,0.10533097634712855
58195,25814,6.470588235294117,0.0999933059016863,0.0968283017476399,0.0958494668205579,0.1016238033771514,0.0940074001749356,0.08985328425963719
58195,25815,6.470588235294118,0.1700153350830078,0.1715380599101384,0.1704884072144826,0.1734432925780614,0.1682286461194356,0.1635106553634008
58195,25816,6.470588235294117,0.0764854500691096,0.0827105641365051,0.0784584134817123,0.0798493027687072,0.0742067322134971,0.07247287780046463
58195,25817,6.470588235294119,0.0481455028057098,0.0487908422946929,0.0495137522617975,0.0493163888653119,0.0454727125664552,0.045522190630435944
58195,25818,6.470588235294117,0.0778257648150126,0.0865600605805714,0.0817392766475677,0.0808207392692565,0.0791907981038093,0.07569890717665355
58195,25819,6.470588235294117,0.1177648703257242,0.1210497419039408,0.1126060560345649,0.113033836086591,0.1168043663104375,0.10669977962970734
58195,25820,6.470588235294117,0.1156459897756576,0.1134741778175036,0.1080258314808209,0.1151413644353548,0.1131173819303512,0.10049869120121002
58195,25821,6.470588235294118,0.1229636619488398,0.1189238081375757,0.1152617360154787,0.1175861110289891,0.1212207948168118,0.1076228991150856
58195,25822,6.470588235294117,0.1143658608198165,0.117927943666776,0.1130375986297925,0.1210569366812706,0.1134734551111857,0.10565503189961116
58195,25823,6.470588235294118,0.0906369760632515,0.098708339035511,0.0945348838965098,0.0996850381294886,0.0885903487602869,0.08859779685735703
58195,25824,6.470588235294118,0.0725945780674616,0.0786604036887486,0.0737322842081387,0.0765722965200742,0.0718324780464172,0.06934476892153423
58195,25825,6.470588235294116,0.0755263480047385,0.0817270949482917,0.0763025184472401,0.0810459206501642,0.0714167306820551,0.07031645129124324
58195,25826,6.470588235294117,0.1219306712349255,0.1116270869970321,0.1028269852201144,0.1095466688275337,0.1146793762842814,0.09738406538963318
58195,25827,6.470588235294118,0.1145446300506591,0.1104489862918853,0.1045491521557172,0.1122554242610931,0.1067499071359634,0.09883083651463191
58195,25828,6.470588235294117,0.0843486885229746,0.0887686858574549,0.0849586799740791,0.0900424321492513,0.0809754381577173,0.07966424276431401
58196,25787,6.470588235294117,0.0683572056392828,0.0670451757808526,0.0660877997676531,0.0665696114301681,0.0626372794310251,0.06157021845380465
58196,25788,6.470588235294118,0.0853186572591463,0.0902510111530621,0.0871563230951627,0.0883005907138188,0.081821026901404,0.07948015381892522
58196,25789,6.470588235294118,0.0646289189656575,0.066025306781133,0.0663748892645041,0.0667256899178028,0.061683057496945,0.06078375379244486
58196,25790,6.470588235294119,0.0634026663998762,0.0689690771202246,0.0663577603797117,0.0643216048677762,0.0612145066261291,0.05940729131301244
58196,25791,6.470588235294118,0.0627563881377379,0.0560458687444528,0.0598092228174209,0.0582627914845943,0.054639163116614,0.054646228750546776
58196,25792,6.470588235294118,0.0726893829802672,0.0643715038895607,0.0678745284676551,0.0655691983799139,0.0629733577370643,0.06108503043651581
58196,25793,6.47058823529412,0.0665748665730158,0.0656275215248266,0.0682743241389592,0.0658301884929339,0.0631958333154519,0.06332749128341675
58196,25794,6.470588235294119,0.0533039358754952,0.0537584722042083,0.056430152306954,0.0548258411387602,0.0527013887961705,0.05277360106507937
