i,j,height
14692,29140,6.470588235294118
14692,29160,6.470588235294118
14692,29161,6.470588235294117
14692,29162,6.470588235294118
14692,29163,6.470588235294119
14692,29164,6.470588235294118
14692,29165,6.470588235294119
14692,29166,6.470588235294117
14692,29167,6.470588235294118
14692,29168,6.470588235294117
14692,29169,6.470588235294117
14692,29170,6.470588235294118
14692,29171,6.470588235294118
14692,29172,6.470588235294119
14692,29173,6.4705882352941195
14692,29174,6.470588235294118
14692,29175,6.470588235294118
14693,29143,6.470588235294118
14693,29158,6.470588235294119
14693,29160,6.470588235294119
14693,29161,6.470588235294118
14693,29162,6.470588235294119
14693,29163,6.470588235294117
14693,29164,6.470588235294118
14693,29165,6.4705882352941195
14693,29166,6.470588235294117
14693,29167,7.288450640371756
14693,29168,6.470588235294119
14693,29169,6.470588235294118
14693,29173,6.470588235294119
14693,29174,6.470588235294118
14693,29176,6.470588235294119
14694,29152,6.470588235294118
14694,29157,6.470588235294118
14694,29158,6.4705882352941195
14694,29160,6.470588235294119
14694,29161,6.470588235294119
14694,29162,6.470588235294119
14694,29164,6.470588235294118
14694,29165,6.470588235294117
14694,29166,6.470588235294119
14694,29167,6.470588235294117
14694,29168,6.470588235294118
14694,29169,6.470588235294119
14694,29171,6.470588235294118
14694,29172,6.470588235294118
14694,29173,6.470588235294119
14694,29174,26.511418435196397
14694,29175,6.559083810515357
14694,29176,6.470588235294118
14695,29140,6.470588235294119
14695,29143,6.470588235294118
14695,29144,6.470588235294119
14695,29145,6.470588235294118
14695,29146,6.470588235294119
14695,29147,6.470588235294118
14695,29149,6.470588235294118
14695,29159,6.470588235294118
14695,29160,6.470588235294119
14695,29161,6.470588235294119
14695,29163,6.470588235294118
14695,29164,6.470588235294118
14695,29165,6.470588235294117
14695,29166,6.628020184213193
14695,29167,6.903897361413703
14695,29168,6.470588235294118
14695,29171,6.470588235294119
14695,29172,6.470588235294118
14695,29174,17.08321864671833
14695,29175,26.756314660208613
14695,29176,6.470588235294118
14696,29140,6.470588235294119
14696,29143,6.470588235294118
14696,29144,6.470588235294118
14696,29145,6.470588235294118
14696,29146,6.470588235294119
14696,29147,6.470588235294118
14696,29151,6.470588235294117
14696,29156,6.470588235294119
14696,29157,6.470588235294119
14696,29158,6.470588235294119
14696,29159,6.470588235294118
14696,29160,6.470588235294118
14696,29161,6.470588235294119
14696,29163,6.470588235294118
14696,29165,6.470588235294119
14696,29166,6.470588235294119
14696,29167,6.470588235294118
14696,29168,6.470588235294119
14696,29169,6.470588235294118
14696,29170,6.470588235294117
14696,29173,7.485489332455315
14696,29174,43.25297878316172
14696,29175,6.470588235294119
14696,29177,6.470588235294119
14697,29144,6.470588235294118
14697,29145,6.4705882352941195
14697,29146,6.470588235294117
14697,29150,6.470588235294119
14697,29156,6.470588235294118
14697,29159,6.470588235294119
14697,29166,6.470588235294117
14697,29167,6.470588235294118
14697,29169,6.470588235294118
14697,29171,6.650326797385622
14697,29172,14.98693254928629
14697,29173,32.60254983002555
14697,29174,39.6798284605063
14697,29175,6.470588235294119
14697,29176,6.470588235294118
14697,29181,6.470588235294119
14698,29142,6.470588235294119
14698,29144,6.470588235294118
14698,29145,6.470588235294119
14698,29146,6.470588235294118
14698,29149,6.470588235294117
14698,29150,6.470588235294118
14698,29151,17.254901960784316
14698,29152,6.470588235294119
14698,29155,6.470588235294118
14698,29157,6.470588235294119
14698,29159,6.470588235294118
14698,29165,6.470588235294117
14698,29166,6.470588235294119
14698,29167,6.470588235294119
14698,29168,6.470588235294118
14698,29169,6.470588235294117
14698,29171,23.344170363334282
14698,29172,20.601002872705177
14698,29173,39.43113666798537
14698,29174,6.470588235294118
14698,29175,6.470588235294117
14698,29176,6.470588235294118
14698,29177,6.470588235294119
14698,29180,6.470588235294118
14698,29183,6.470588235294119
14698,29184,6.470588235294117
14699,29141,6.470588235294119
14699,29143,6.470588235294117
14699,29145,6.470588235294118
14699,29146,6.470588235294119
14699,29147,6.470588235294118
14699,29149,6.470588235294118
14699,29150,6.470588235294117
14699,29152,6.470588235294119
