i,j,height
18730,25049,6.470588235294119
18730,25050,6.470588235294118
18730,25051,6.470588235294119
18730,25052,6.470588235294118
18730,25053,6.470588235294119
18730,25054,6.470588235294118
18730,25055,6.470588235294117
18730,25056,6.470588235294119
18730,25057,6.470588235294118
18730,25058,6.470588235294118
18730,25059,6.470588235294118
18730,25060,6.470588235294118
18730,25061,6.470588235294118
18730,25062,6.4705882352941195
18730,25063,6.470588235294119
18730,25064,6.470588235294119
18730,25065,6.470588235294119
18730,25066,6.470588235294119
18730,25067,6.470588235294118
18730,25068,6.4705882352941195
18730,25069,6.470588235294119
18730,25070,6.470588235294118
18730,25071,6.470588235294118
18730,25072,6.470588235294118
18730,25073,6.470588235294117
18730,25074,32.7454245826231
18730,25075,9.110788699177483
18730,25076,6.468801026832497
18730,25077,6.470588235294118
18730,25078,6.470588235294118
18730,25079,6.470588235294119
18730,25080,6.470588235294118
18730,25081,6.470588235294118
18730,25082,6.470588235294117
18730,25083,6.470588235294117
18730,25084,6.470588235294118
18730,25085,6.470588235294119
18730,25086,6.470588235294118
18730,25087,6.470588235294118
18730,25088,6.470588235294118
18730,25089,6.470588235294118
18730,25090,6.470588235294117
18730,25091,6.470588235294116
18730,25092,6.470588235294118
18730,25093,6.470588235294119
18731,25049,6.470588235294118
18731,25050,6.470588235294118
18731,25051,6.470588235294119
18731,25052,6.470588235294118
18731,25053,6.470588235294119
18731,25054,6.470588235294118
18731,25055,6.470588235294118
18731,25056,6.4705882352941195
18731,25057,6.470588235294117
18731,25058,6.4705882352941195
18731,25059,6.4705882352941195
18731,25060,6.470588235294118
18731,25061,6.470588235294118
18731,25062,6.470588235294117
18731,25063,6.470588235294118
18731,25064,6.4705882352941195
18731,25067,6.470588235294119
18731,25068,6.4705882352941195
18731,25069,6.470588235294118
18731,25070,6.470588235294117
18731,25071,6.470588235294118
18731,25072,6.470588235294118
18731,25073,12.075654943662085
18731,25074,19.31633451090111
18731,25075,6.470588235294117
18731,25076,6.470588235294119
18731,25077,6.470588235294117
18731,25078,6.470588235294119
18731,25079,6.470588235294119
18731,25080,6.470588235294118
18731,25081,6.470588235294118
18731,25082,6.470588235294118
18731,25083,6.470588235294118
18731,25084,6.470588235294118
18731,25085,6.470588235294118
18731,25086,6.470588235294119
18731,25087,6.470588235294118
18731,25088,6.470588235294119
18731,25089,6.470588235294118
18731,25090,6.470588235294117
18731,25091,6.470588235294117
18731,25092,6.470588235294118
18732,25049,14.626276054307695
18732,25050,8.716838789213572
18732,25051,6.470588235294117
18732,25052,6.470588235294118
18732,25053,6.470588235294117
18732,25054,6.470588235294118
18732,25055,6.470588235294119
18732,25056,6.470588235294118
18732,25057,6.470588235294118
18732,25058,6.470588235294119
18732,25059,6.470588235294118
18732,25060,6.470588235294118
18732,25061,6.470588235294117
18732,25062,6.470588235294118
18732,25063,6.470588235294118
18732,25064,6.470588235294118
18732,25065,6.470588235294118
18732,25066,6.470588235294118
18732,25067,6.470588235294118
18732,25068,6.4705882352941195
18732,25069,6.470588235294118
18732,25070,6.470588235294118
18732,25071,6.470588235294119
18732,25072,6.493058615247816
18732,25073,8.957803484015642
18732,25074,6.470588235294119
18732,25075,6.470588235294118
18732,25076,6.470588235294119
18732,25077,6.4705882352941195
18732,25078,6.470588235294119
18732,25079,6.470588235294119
18732,25080,6.470588235294118
18732,25081,6.470588235294119
18732,25082,6.470588235294118
18732,25083,6.470588235294119
18732,25084,6.470588235294117
18732,25085,12.002134187008137
18732,25086,6.470588235294118
18732,25087,6.470588235294117
18732,25088,6.470588235294118
18732,25089,6.470588235294117
18732,25090,6.470588235294119
18732,25091,6.470588235294118
18732,25092,6.470588235294118
18732,25093,6.470588235294117
18733,25049,20.023324919321343
18733,25050,20.65544236142294
18733,25051,10.354624753145856
18733,25052,6.470588235294118
18733,25053,6.470588235294117
18733,25054,13.68854990426208
18733,25055,22.68587726199842
18733,25056,6.470588235294119
18733,25057,6.470588235294118
18733,25058,6.470588235294119
18733,25059,6.470588235294118
18733,25060,6.470588235294117
18733,25061,6.470588235294119
18733,25062,6.470588235294118
18733,25063,6.470588235294119
18733,25064,6.470588235294118
